Authors,Article Name,Publication,Year,Definition Page(s),Definition,,
"Eldridge, Christopher; Hobbs, Christopher; Moran, Matthew",Fusing algorithms and analysts: open-source intelligence in the age of 'Big Data',INTELLIGENCE AND NATIONAL SECURITY,2018,393-394,"In recent years, the term ‘Big Data’ has become a buzzword of sorts in discussions relating to developments online. Despite its ubiquity in academic and popular discourse, however, the term is poorly understood and often ill-defined. It has become a popular way to refer to the dramatic increase in recent years of the amount of data available online. But the concept represents more than vast quantities of information. McAfee and Brynjolfsson argue that the concept comprises three core factors: volume, variety and velocity. The issue of volume is perhaps the one most frequently highlighted in popular commentary due to the staggering figures involved. According to a prediction published in 2014 by an IT analysis company, the ‘digital universe’ doubles in size every two years and will reach 44 zettabytes by 2020.17 Indeed, for Kevjn Lim, it is the process of digitalisation that is the main driver behind the Big Data phenomenon. In 2000, 25 per cent of the world’s stored information was digital; by 2013, it was over 98 per cent. Equally important for understanding the nature of ‘Big Data’, however, is the variety of the data sources: ‘Big data takes the form of messages, updates and images posted to social networks; readings from sensors; GPS signals from cell phones, and more’. Furthermore, ‘many of the most important sources of Big Data are relatively new’. It is only since the mid-2000s that social networks such as Facebook and Twitter began to gain real momentum. Finally, the speed of data creation is regarded by many as even more important than the volume. On this issue of velocity, McAfee and Brynjolfsson note, ‘Real-time or nearly real-time information makes it possible for a company to be much more agile than its competitors’. This argument is stems from the business context but the logic applies across a range of fields; access to real-time information flows opens up unprecedented analytical opportunities.",,
"Gamage, Pandula",New development: Leveraging big data' analytics in the public sector,PUBLIC MONEY & MANAGEMENT,2016,385,"‘Big data’ is a general term referring to the massive amounts of data collected from many sources, including the web and the cloud (Manzoor, 2015). According to leading information technology and research company, Gartner (2015), big data is: 

…high-volume, high-velocity and/or high-variety information assets that demand cost-effective, innovative forms of information processing that enable enhanced insight, decision-making, and process automation. 

Gartner’s definition includes three characteristics known as the ‘three Vs’: the volume of information that systems must ingest process and disseminate; the velocity at which information grows or disappears; and the variety in the diversity of data sources and formats.",,
"Giest, Sarah",Big data for policymaking: fad or fasttrack?,POLICY SCIENCES,2017,367-368,"Big data is a broad term for the volume and complexity of data that is available. While there is no widely accepted definition of the term, the most basic description is that big data means datasets that are too large for traditional processing systems and require new technologies (Provost and Fawcett 2013). This not only refers to the size of the data, but also to its variety, velocity and veracity. This means that data is collected faster and that there is more variation of data that can be tapped into. Veracity refers to the uncertainty of data. This has to do both with the quality of the data, but also with the uncertainty of those dealing with the data of how accurate and complete this resource is.",,
"Gorham, Ashley E.",Big Data and Democracy: Facts and Values,PS-POLITICAL SCIENCE & POLITICS,2017,"961, n. 1","The most common definition of big data is “high volume, high velocity, and/or high variety information assets” (Gartner 2017). However, as Kitchin and McArdle (2016, 9) noted, “Big Data do no all share the same characteristics and...there are multiple forms of Big Data.” Eschewing technical terms, Clark and Golder (2015, 66) seem to express the general understanding of the term within political science with their conceptualization of big data as “the idea that technological innovations such as machine learning have allowed scholars to gather either new types of data, such as social media data, or vast quantities of traditional data with less expense.”",,
"Hansen, Hans Krause; Porter, Tony",What Do Big Data Do in Global Governance?,GLOBAL GOVERNANCE,2017,31,"Big data build on the exponential growth of data from new sources such as Internet clicks or machine sensors. They stand in contrast to conventional databases bounded and then managed according to specified standards and for predetermined purposes. Big data can involve ongoing streams of data that are processed, analyzed, and immediately supplied to users, in contrast to periodic surveys that may take months or years to process. Three distinctive features of Big data as compared to more conventional data have been identified: volume, variety, and velocity (3Vs).",,
"Hindman, Matthew","Building Better Models: Prediction, Replication, and Machine Learning in the Social Sciences",ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,48,"Many argue that the social sciences are on the brink of a “big data revolution.” A growing body of research now uses datasets that are “big” not just in terms of their size, but also in terms of their complexity, their variety, and the speed at which they accumulate.",,
"Hofferth, Sandra L.; Moran, Emilio F.; Entwisle, Barbara; Aber, J. Lawrence; Brady, Henry E.; Conley, Dalton; Cutter, Susan L.; Eckel, Catherine C.; Hamilton, Darrick; Hubacek, Klaus",Introduction: History and Motivation,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2017,"6 (ABSTRACT), 8","Big data, that is, data that are byproducts of our lives rather than designed for research purposes...

...

big data—large, diverse, and heterogeneous datasets, often by-products generated from business and Internet transactions, email, social media, health care facilities, and various sensors and instruments",,
"Japec, Lilli; Kreuter, Frauke; Berg, Marcus; Biemer, Paul; Decker, Paul; Lampe, Cliff; Lane, Julia; O'Neil, Cathy; Usher, Abe",Big Data in Survey Research,PUBLIC OPINION QUARTERLY,2015,"840, 841-843","The term “Big Data” is an imprecise description of a rich and complicated set of characteristics, practices, techniques, ethical issues, and outcomes all associated with data.

...

In order to know when and how Big Data can be an appropriate technique for social insight, it is important to know more about the different features of Big Data. While there is no singularly preeminent Big Data definition, one very widely used definition comes from a 2001 Gartner report ( Laney 2001 , 2012 ) describing several characteristics of Big Data:

Volume refers to the sheer amount of data available for analysis. This volume of data is driven by the increasing number of data-collection instruments (e.g., social media tools, mobile applications, sensors) as well as the increased ability to store and transfer those data with recent improvements in data storage and networking.

Velocity refers to both the speed at which these data-collection events can occur, and the pressure of managing large streams of real-time data. Across the means of collecting social information, new information is being added to the database at rates ranging from as slow as every hour or so to as fast as thousands of events per second.

Variety refers to the complexity of formats in which Big Data can exist. Besides structured databases, there are large streams of unstructured documents, images, e-mail messages, video, links between devices, and other forms that create a heterogeneous set of data points. One effect of this complexity is that structuring and tying data together becomes a major effort, and therefore a central concern of Big Data analysis.

Others have added additional characteristics to the definition. These include Variability (inconsistency of the data across time), Veracity (ability to trust that the data are accurate), and Complexity (need to link multiple data sources).

There are many different types of Big Data sources; for example, social media data , personal data (e.g., data from tracking devices), sensor data , transactional data , and administrative data .

There are different opinions on whether administrative data should be considered to be Big Data or not. Administrative data are usually large in volume; they are generated for a different purpose and arise organically through administrative processes. Also, the content of administrative data is usually not designed by researchers. For these reasons, and because there is great potential in using administrative data, we will consider it to be in scope for this report.

There are a number of differences between administrative data and other types of Big Data that are worth pointing out. The amount of control a researcher has and the potential inferential power vary between different types of Big Data sources. For example, a researcher will likely not have any control of data from different social media platforms, and it could be difficult to decipher a text from social media. For administrative data, on the other hand, a statistical agency can form a partnership with owners of the data and influence the design of the data. Administrative data are more structured and well defined, and more is known about the data than perhaps other Big Data sources

A dimension of Big Data not often mentioned in the practitioner literature, but important for survey researchers to consider, is that Big Data are often secondary data, intended for another primary use. This means that Big Data are typically related to some non-research purpose and then reused by researchers to make a social observation. This is related to Sean Taylor’s distinction between “found vs. made” data ( Taylor 2013 ). He argues that a key difference between Big Data approaches and other social science approaches is that the data are not being initially “made” through the intervention of some researcher. When a survey researcher constructs an instrument, there are levels of planning and control that are necessarily absent in the data used in Big Data approaches. Big Data sources might have only a few variables, as compared with surveys that have a set of variables of interest to the researcher. In a 2011 Public Opinion Quarterly article and a blog post in his former role as director of the US Census Bureau, Robert Groves described a similar difference between organic and designed data ( Groves 2011a , 2011b ).",,
"Kernaghan, Kenneth","Digital dilemmas: Values, ethics and information technology",CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,2014,300,"The Open Data movement is closely related to the Big Data (or Big Data analytics) movement dedicated to developing and exploiting data sets so large and complex that it is difficult to capture, store, manage and analyze them with typical database software.",,
"Kuiler, Erik W.",From Big Data to Knowledge: An Ontological Approach to Big Data Analytics,REVIEW OF POLICY RESEARCH,2014,311,"Following the Gartner Group’s definition, trade journals tend to emphasize three Big Data properties, collectively referenced as the three V’s :1 volume—to denote an exponentially large data set, ranging in size from one or more terabytes (1012) to multiple petabytes (1015) or exabytes (1018); velocity—to indicate data that arrive as continuous streams, rather than as transaction or database files; and variety—to designate data sets that contain both structured and unstructured data that may be subject to different semantics and in different formats, gathered from diverse sources. Discussing Big Data in its historical perspective, Jacobs (2009) offers a definition of the term that is perhaps more useful because it places Big Data in its proper IT context: “Big data should be defined at any point in time as ‘data whose size forces us to look beyond tried-and-true methods [of storage and manipulation] that are prevalent at that time.’”",,
"Lim, Kevjn",Big Data and Strategic Intelligence,INTELLIGENCE AND NATIONAL SECURITY,2016,621-622,"The term Big Data refers to massively voluminous, highly varied (i.e. structured and especially unstructured6 6 ‘Unstructured’ refers to data that are more complex to quantify such as photographs, video images, emails, text messages and so forth. Contemporary advances in automated analysis techniques, Bayesian-based machine learning and data mining allow for the datafication of such sources. According to one report, unstructured data make up over 90 per cent of the digital universe, see John Gantz and David Reinsel, ‘Extracting Value from Chaos’, IDC iView & EMC Corp. (June 2011) < http://www.emc.com/collateral/analyst-reports/idc-extracting-value-from-chaos-ar.pdf>. View all notes ) and dynamic real-time datasets that do not lend themselves to traditional relational data analysis processes. Instead, because of the orders of magnitude involved, the datasets are captured, ingested and interrogated across a number of servers and the results (of successive iterations) are re-aggregated afterwards in a procedure known as massive parallel processing (MPP) – the functional basis for Big Data analytics.

The key vector for the rise of Big Data is the digitization of information. In 2000, only a quarter of the world’s stored information was digital. In 2013, this figure rose to over 98 per cent of the approximately 1200 exabytes (1 exabyte equaling 1 billion gigabytes) of information stored 7 worldwide in all forms.7 But digitization is only a necessary, not sufficient condition for Big Data applications. What is still required is datafication that is the conversion of all structured, semi-structured and non-structured information packets into quantifiable units permitting the extraction of new forms of value.

",,
"Lin, Jimmy",On Building Better Mousetraps and Understanding the Human Condition: Reflections on Big Data in the Social Sciences,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,2015,35-36,"In the business context, big data are the (somewhat obvious) idea that an organization should retain data that result from carrying out its mission and exploit those data to generate insights for better decision-making. Also known as business intelligence, among other monikers, its origins date back several decades. In this sense, the big data hype is simply a rebranding of what many organizations have been doing for a long time. Today, these activities are known as data science and those who practice it are known as data scientists.

Examined more closely, however, there are three major trends that distinguish insight-generation activities today from, say, the 1990s. First, we have seen a tremendous explosion in the sheer amount of data—orders of magnitude increase. In the past, enterprises have typically focused on gathering data that are obviously valuable, such as business objects representing customers, items in catalogs, purchases, contracts, and so on. Today, in addition to such data, organizations also gather behavioral data from users. In the online setting, these include web pages that users visit and links that they click on, among others. The advent of social media and user-generated content, and the resulting interest in encouraging such interactions, further adds to the amount of data that is generated and collected. These are precisely the types of data that are valuable for computational social science.

Second, we see increasing sophistication in the types of analyses that organizations perform on their vast data stores. Traditionally, most information needs fell under what is known as online analytical processing (OLAP). Common tasks include creating joined views, followed by filtering, aggregation, or cube materialization— an example might be “show me the number of widgets sold in the northeast over the past six months to female customers.” We can characterize these activities as descriptive analytics, generating reports that an executive might consume. Today, data scientists are also interested in predictive analytics, which often involves building machine-learned models that can predict user behavior; for example, “what types of targeted ads can attract female customers to purchase this widget?” These models are then operationalized into data products that apply some sort of intervention (e.g., a recommender system) to hopefully affect user behavior. 

Finally, open-source software is playing an increasingly important role in today’s ecosystem. A decade ago, there was no credible open-source, distributed data analytics platform capable of handling large data volumes. Today, the open-source Hadoop platform, which began as an implementation of MapReduce (Dean and Ghemawat 2004), lies at the center of an ecosystem for large-scale data analytics, and is surrounded by complementary systems such as HBase, Pig, Hive, Spark, Giraph, and many others. Hadoop’s importance has been validated by its adoption in countless startups and mature enterprises. This broad base of support provides credibility, but the biggest impact of open-source infrastructure is the democratization of big data capabilities, especially when coupled with cloud computing. On-demand cloud services have obviated the need for many organizations to maintain dedicated hardware infrastructure, and today, analyses on terabytes of data can be conducted at modest costs without the need for major capital investments in servers. These tools are now within the reach of many social scientists, transforming the types of analyses they are able to conduct.",,
"Liu, Taoxiong; Xu, Xiaofei; Fan, Fangda",Forecasting Chinese GDP Using Online Data,EMERGING MARKETS FINANCE AND TRADE,2018,733,"Having a profound impact on social and economic development, the term big data refers to huge and diverse datasets (Ayi Armah 2013). The processing of these data extends beyond the abilities of current mainstream software, thereby requiring improvements in data processing tools.",,
"Longo, Justin; Dobell, Rod",The Limits of Policy Analytics: Early Examples and the Emerging Boundary of Possibilities,POLITICS AND GOVERNANCE,2018,6-7,"Definitions of ‘big data’ abound (Dutcher, 2014; Fredriksson, Mubarak, Tuohimaa, & Zhan, 2017; Ward & Barker, 2013), with most focusing on its characteristics— especially the large volume of data, its continuous flow at high velocity, and the variety of data available—and others pointing to the complexity of combined data sets and their value in revealing previously undetectable patterns. What emerges, however, from the policy analytics literature is a frequent conflation of ‘big data’ with ‘large’ data collections such as a census. While this reflects the current state of the art, our concept of big data draws especially on the velocity and variety (and, consequently, the large volume) of data as the foundation for a policy analytic approach that centres on a real-time understanding and interaction with the policy environment.",,
"Maciejewski, Mariusz","To do more, better, faster and more cheaply: using big data in public administration",INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,2017,122-123,"There are several definitions of big data, ranging from the simple to the sophisticated. The simplest definition was formed by D. Laney, who described big data sets by their big volume, velocity and variety (Laney, 2001). This definition, while simple, is adequate for general purposes and is widely used (US Executive Office of the President, 2014). Fifteen years after this definition was proposed, datasets have become much bigger, more rapid and more varied. Almost everyone in modern society leaves digital traces of their lives, which may be gathered and may be available for easy processing and reasoning. The reasoning methods include aggregation of data, extraction, deduction, pattern detection, network analytics, trend evaluations, model creation, prediction and more. Methods of big data rely on applying certain reasoning to the above data sets with the help of computer technologies. In general, the core benefit of contemporary big data methods is that they allow for wide information input and intensive, automated analysis of that information. This allows an organization to manage and perform its duties significantly better, and even to execute tasks that would otherwise have been impossible. Successful application of big data methods results in:

1. A significant increase in the accuracy of decision-making, which occurs through:

a. The unprecedented expansion of the information database for analysing and drawing conclusions.

b. The feasibility of extensive work involving analysis and reasoning, which has been impossible to do with human resources alone.

c. The application of new methods of data presentation, allowing a better understanding of phenomena, changes over time and inter-relations.

d. The creation of algorithms to suggest appropriate solutions.

2. Significant acceleration of the performance of internal ‘information tasks’ through computerizing and automating data analysis and inference.

3. Significant reduction of the costs related to the decision-making process, thanks to the use of information technology rather than people to perform some or all of the analytical work and reasoning.

The opportunity to carry out tasks that were previously impossible is the consequence of the factors mentioned in points 1 and 2 above. To simplify: big data methods can uncover knowledge that was previously impossible to reveal. In turn, this new knowledge allows new tasks (previously impossible or even unimaginable) to be successfully carried out.",,
"Madsen, Anders Koed; Flyverbom, Mikkel; Hilbert, Martin; Ruppert, Evelyn",Big Data: Issues for an International Political Sociology of Data Practices,INTERNATIONAL POLITICAL SOCIOLOGY,2016,277,"Big data is a phenomenon that has been defined and conceptualized in various ways during the past five years ( De Mauro, Greco, and Grimaldi 2014 ). There is no consensus about what demarcates big data from other types of data, but a widely used definition has been Douglas Laney’s “3 v’s”:

Big data is high-volume, high-velocity, and/or high-variety information assets that require new forms of processing to enable enhanced decision-making, insight discovery, and process optimization ( Laney 2012 ).

According to Laney’s definition, big data practices are characterized by the technical attributes of the data they involve. Data points are numerous, and they come from various sources at a pace that is sometimes referred to as real time. This definition also entails that the problems raised by big data practices have technical solutions. For Laney, the pressing question is to find the right processing techniques to handle data with these new characteristics.

Writers such as Victor Meyer-Schönberger and Kenneth Cukier have challenged these largely technical definitions. Instead of focusing on the nature of data, they define big data with a focus on the new dynamics of knowledge production and valuation that are changed with the introduction of new data practices:

Big data refers to things one can do at a large scale that cannot be done at a smaller one, to extract new insights or create new forms of value, in ways that change markets, organizations, the relationship between citizens and governments, and more ( Mayer-Schönberger and Cukier 2013 ).

In line with our introductory comments above, we agree that the role of big data in transnational governance is not a purely technical phenomenon. It must be approached as a heterogeneous phenomenon that can be studied by attending to the interplay between social and technical relations in the way suggested by Meyer-Schönberger and Cukier. However, we want to add that this interplay can be fruitfully studied by attending to the following three moments of big data practices: 1) the datafication of daily life, 2) the production of patterns and predictions, and 3) the making of new modes of governance.",,
"Malomo, Fola; Sena, Vania",Data Intelligence for Local Government? Assessing the Benefits and Barriers to Use of Big Data in the Public Sector,POLICY AND INTERNET,2017,"7, 11, 12","It is now a popular byword for large volumes of data that are produced routinely by organizations and are too complex for standard software packages to process (Mayer- Schoenberger & Cukier, 2013).

...

The term Big Data emerged in the private sector around a decade ago, although there are earlier references to the concept (Laney, 2001). In reality, there is no agreed definition of Big Data. The most common one (Gartner, 2015) uses a series of Vs to describe the dimensions of Big Data:


Volume considers the amount of data generated and collected.
Velocity refers to the speed at which data are analyzed.
Variety indicates the different types of data that are collected.
Viscosity measures resistance to flow of data.
Variability measures the change of rate of flow
Veracity measures biases, noise, and abnormality.
Volatility indicates how long data are valid for and should be stored for.

However, there are additional features of Big Data that are essential to their nature and make them of interest. For instance, Manyika et al. (2011) use a subjective definition that emphasizes the size of the data sets being beyond the ability of typical database software tools to capture, store, manage, and analyze them. Other definitions focus on the fact that they can be of different types, and on the insights they can provide (Forbes, 2014).

...
As the variety of data produced by the public sector has grown, a few authors have pointed out that complexity—driven by the volume of data and the large number of data sources—is the defining feature of Big Data within the public sector (IBM, 2015) for several reasons (Sisense, 2013).",,
"Margetts, Helen",The Data Science of Politics,POLITICAL STUDIES REVIEW,2017,202-203,"Kitchin’s own definition of big data (Kitchin, 2014a, 2014b) is
more useful, laying out the distinguishing features of such data which allow new methodologies:

Huge in volume, consisting of terabytes or petabytes of data;

High in velocity, being created in or near real-time;

Diverse in variety, being structured and unstructured in nature;

Exhaustive in scope, striving to capture entire populations or systems (n?=?all);

Fine-grained in resolution and uniquely indexical in identification;

Relational in nature, containing common fields that enable the conjoining of different data sets;

Flexible, holding the traits of extensionality (can add new fields easily) and scaleability (can expand in size rapidly).",,
"McNeely, Connie L.; Hahm, Jong-on","The Big (Data) Bang: Policy, Prospects, and Challenges",REVIEW OF POLICY RESEARCH,2014,305,"In a pragmatic sense, big data has been used to describe datasets whose size is beyond the analytical capacities of most database software tools (Manyika et al., 2011), and the idea that things can be learned from a large body of data that cannot be comprehended from smaller amounts links big data to notions of complexity (cf. Kash & Rycroft, 2003). ",,
"Mergel, Ines; Rethemeyer, R. Karl; Isett, Kimberley",Big Data in Public Affairs,PUBLIC ADMINISTRATION REVIEW,2016,931,"Big data in public affairs, then, is high volume data that frequently combines highly structured administrative data actively collected by public sector organizations with continuously and automatically collected structured and unstructured real-time data that are often passively created by public and private entities through their Internet interactions.",,
